# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ABR	ENSG00000159842	ENST00000291107	protein_coding	0	13	18	938	6	0	0	164	772	18	0	0	0	6	0	0	9	0
ABR	ENSG00000159842	ENST00000302538	protein_coding	0	13	18	969	87	0	0	114	772	18	0	0	0	6	0	0	9	0
ABR	ENSG00000159842	ENST00000536794	protein_coding	0	13	18	932	0	0	0	164	772	18	0	0	0	6	0	0	9	0
ABR	ENSG00000159842	ENST00000543210	protein_coding	0	13	18	933	0	0	0	165	772	18	0	0	0	6	0	0	9	0
ABR	ENSG00000159842	ENST00000544583	protein_coding	0	13	18	969	87	0	0	114	772	18	0	0	0	6	0	0	9	0
ABR	ENSG00000159842	ENST00000570688	retained_intron	0	1	0	430	0	0	0	163	81	0	19	0	0	1	0	0	0	168
ABR	ENSG00000159842	ENST00000571022	processed_transcript	0	4	0	841	0	0	0	167	660	0	18	0	0	4	0	0	0	0
ABR	ENSG00000159842	ENST00000571120	retained_intron	0	3	0	449	0	0	0	168	101	0	20	0	0	3	0	0	0	163
ABR	ENSG00000159842	ENST00000571383	processed_transcript	0	4	0	447	0	0	0	168	99	0	20	0	0	4	0	0	0	164
ABR	ENSG00000159842	ENST00000571797	protein_coding	0	9	11	519	12	0	0	162	177	11	0	0	0	3	0	0	8	169
ABR	ENSG00000159842	ENST00000572152	nonsense_mediated_decay	0	3	0	818	11	0	0	167	625	0	18	0	0	3	0	0	0	0
ABR	ENSG00000159842	ENST00000572441	protein_coding	0	7	6	986	1	0	0	162	827	6	0	0	0	4	0	0	3	0
ABR	ENSG00000159842	ENST00000572585	retained_intron	0	3	0	583	0	0	0	114	176	0	132	0	0	3	0	0	0	164
ABR	ENSG00000159842	ENST00000572650	retained_intron	0	2	0	453	0	0	0	164	102	0	17	0	0	2	0	0	0	172
ABR	ENSG00000159842	ENST00000573559	processed_transcript	0	4	0	507	0	0	0	164	154	0	22	0	0	4	0	0	0	171
ABR	ENSG00000159842	ENST00000574257	retained_intron	0	2	0	760	0	0	0	171	572	0	19	0	0	2	0	0	0	0
ABR	ENSG00000159842	ENST00000574437	protein_coding	0	13	18	942	11	0	0	163	772	18	0	0	0	6	0	0	9	0
ABR	ENSG00000159842	ENST00000576668	retained_intron	0	2	0	756	0	0	0	172	572	0	14	0	0	2	0	0	0	0
ABR	ENSG00000159842	ENST00000577052	processed_transcript	0	3	0	781	0	0	0	168	602	0	14	0	0	3	0	0	0	0
AC073957.15	ENSG00000225146	ENST00000418941	antisense	0	1	0	204	0	0	0	0	35	0	1	0	0	1	0	0	0	169
AC087430.1	ENSG00000235158	ENST00000451707	lincRNA	0	0	0	496	0	0	0	157	40	0	127	0	0	0	0	0	0	172
AGRN	ENSG00000188157	ENST00000379370	protein_coding	2	6	8	490	0	0	2	0	332	8	0	0	0	1	2	0	5	157
AGRN	ENSG00000188157	ENST00000469403	retained_intron	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	29
AGRN	ENSG00000188157	ENST00000477585	processed_transcript	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	53
AGRN	ENSG00000188157	ENST00000620552	protein_coding	0	2	1	504	0	1	16	0	332	1	0	0	0	1	0	0	0	157
AP2A2	ENSG00000183020	ENST00000332231	protein_coding	1	16	14	548	54	0	0	163	336	14	0	0	0	5	1	0	11	0
AP2A2	ENSG00000183020	ENST00000448903	protein_coding	1	17	14	548	54	0	0	163	336	14	0	0	0	6	1	0	11	0
AP2A2	ENSG00000183020	ENST00000525891	processed_transcript	0	3	0	477	0	0	0	164	298	0	18	0	0	3	0	0	0	0
AP2A2	ENSG00000183020	ENST00000526376	retained_intron	0	0	0	409	0	0	0	165	95	0	21	0	0	0	0	0	0	128
AP2A2	ENSG00000183020	ENST00000526401	retained_intron	0	2	0	496	0	0	0	164	189	0	20	0	0	2	0	0	0	125
AP2A2	ENSG00000183020	ENST00000528195	processed_transcript	0	1	0	185	0	0	0	169	16	0	1	0	0	1	0	0	0	0
AP2A2	ENSG00000183020	ENST00000528815	nonsense_mediated_decay	0	4	0	561	30	0	0	163	341	0	31	0	0	4	0	0	0	0
AP2A2	ENSG00000183020	ENST00000528816	retained_intron	0	0	0	363	0	0	0	162	9	0	20	0	0	0	0	0	0	172
AP2A2	ENSG00000183020	ENST00000529427	retained_intron	0	0	0	397	0	0	0	166	47	0	11	0	0	0	0	0	0	173
AP2A2	ENSG00000183020	ENST00000529438	processed_transcript	0	3	0	481	0	0	0	163	260	0	17	0	0	3	0	0	0	44
AP2A2	ENSG00000183020	ENST00000531497	retained_intron	0	1	0	475	0	0	0	163	13	0	128	0	0	1	0	0	0	172
AP2A2	ENSG00000183020	ENST00000534328	protein_coding	0	4	2	530	8	0	0	163	360	2	0	0	0	2	0	0	2	0
C7orf50	ENSG00000146540	ENST00000357429	protein_coding	1	3	7	989	0	0	0	0	992	7	0	0	0	3	1	0	0	0
C7orf50	ENSG00000146540	ENST00000397098	protein_coding	1	3	7	989	0	0	0	0	992	7	0	0	0	3	1	0	0	0
C7orf50	ENSG00000146540	ENST00000397100	protein_coding	1	3	7	989	0	0	0	0	992	7	0	0	0	3	1	0	0	0
C7orf50	ENSG00000146540	ENST00000412051	protein_coding	1	5	8	986	0	0	0	0	931	8	0	0	0	3	1	0	2	58
C7orf50	ENSG00000146540	ENST00000444428	protein_coding	1	3	7	989	0	0	0	0	992	7	0	0	0	3	1	0	0	0
C7orf50	ENSG00000146540	ENST00000465681	retained_intron	0	0	0	358	0	0	0	172	40	0	88	0	0	0	0	0	0	58
C7orf50	ENSG00000146540	ENST00000488073	processed_transcript	0	3	0	997	0	0	0	0	992	0	8	0	0	3	0	0	0	0
C7orf50	ENSG00000146540	ENST00000491163	protein_coding	1	3	7	989	0	0	0	0	992	7	0	0	0	3	1	0	0	0
CNN2	ENSG00000064666	ENST00000263097	protein_coding	1	1	1	286	0	0	2	0	113	1	0	0	1	0	0	0	1	172
CNN2	ENSG00000064666	ENST00000348419	protein_coding	1	1	1	284	0	0	1	0	113	1	0	0	1	0	0	0	1	171
CNN2	ENSG00000064666	ENST00000562015	protein_coding	1	1	0	288	0	1	6	0	111	0	0	0	1	0	0	0	0	172
CNN2	ENSG00000064666	ENST00000562075	protein_coding	1	0	0	283	0	0	1	0	113	0	0	0	1	0	0	0	0	170
CNN2	ENSG00000064666	ENST00000562958	protein_coding	1	1	1	283	0	0	1	0	113	1	0	0	1	0	0	0	1	170
CNN2	ENSG00000064666	ENST00000565096	protein_coding	1	1	1	283	0	0	1	0	113	1	0	0	1	0	0	0	1	170
CNN2	ENSG00000064666	ENST00000566695	protein_coding	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	139
CNN2	ENSG00000064666	ENST00000568865	protein_coding	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	132
CNN2	ENSG00000064666	ENST00000569352	nonsense_mediated_decay	1	0	0	286	0	0	1	0	113	0	3	0	1	0	0	0	0	170
CNN2	ENSG00000064666	ENST00000606983	protein_coding	1	1	1	282	0	0	0	0	113	1	0	0	1	0	0	0	1	170
CNN2	ENSG00000064666	ENST00000607102	protein_coding	1	1	0	282	0	0	0	0	113	0	0	0	1	0	0	0	1	170
CTD-3212A4.2	ENSG00000282692	ENST00000634128	lincRNA	0	0	0	372	0	0	0	170	0	0	30	0	0	0	0	0	0	172
DLGAP2	ENSG00000198010	ENST00000421627	protein_coding	0	0	0	1000	0	0	0	0	1000	0	0	0	0	0	0	0	0	0
DLGAP2	ENSG00000198010	ENST00000522092	processed_transcript	0	0	0	1000	0	0	0	0	1000	0	0	0	0	0	0	0	0	0
DLGAP2	ENSG00000198010	ENST00000524139	processed_transcript	0	0	0	1000	0	0	0	0	960	0	40	0	0	0	0	0	0	0
DLGAP2	ENSG00000198010	ENST00000578889	processed_transcript	0	0	0	1000	0	0	0	0	1000	0	0	0	0	0	0	0	0	0
DLGAP2	ENSG00000198010	ENST00000637795	protein_coding	0	0	0	1000	0	0	0	0	1000	0	0	0	0	0	0	0	0	0
ERC1	ENSG00000082805	ENST00000347735	nonsense_mediated_decay	0	1	0	1004	0	0	5	0	973	0	27	0	0	1	0	0	0	0
ERC1	ENSG00000082805	ENST00000355446	protein_coding	1	10	11	197	0	0	5	0	32	11	0	0	0	0	1	0	10	160
ERC1	ENSG00000082805	ENST00000360905	protein_coding	1	11	11	977	0	0	5	0	973	11	0	0	0	1	1	0	10	0
ERC1	ENSG00000082805	ENST00000397203	protein_coding	1	10	11	198	0	0	5	0	32	11	0	0	0	0	1	0	10	161
